"","date","unique_users","tweet_count","freq","freq_hate","freq_upd","freq_upd_hate","freq_rt","freq_rt_hate","norm","norm_hate","norm_upd","norm_upd_hate","norm_rt","norm_rt_hate","election","date_num","slope_change","slope_change2","date_num2"
"197",2015-12-30,584568,4352104,7080,1331,4818,1070,2863,428,0.013014394876593,0.00244663270914482,0.0659358705916164,0.0146432921405209,0.00526274188300647,0.000786745904969183,0,197,0,0,38809
"198",2015-12-31,603232,4706208,6716,1179,4658,975,2677,366,0.0114164099844291,0.00200416131203721,0.0617739111983449,0.0129303485226248,0.00455058509951111,0.000622156946739286,0,198,0,0,39204
"199",2016-01-01,602504,4166112,5184,928,3921,779,1916,269,0.00995460515703851,0.00178199721946986,0.0520627248947725,0.0103434997941922,0.00367920977640543,0.000516548762971327,0,199,0,0,39601
"200",2016-01-02,545360,3945832,5950,1085,4390,883,2673,343,0.0120633620488657,0.00219978955008728,0.0643978289570192,0.0129529118380519,0.00541938937086019,0.000695417341640496,0,200,0,0,40000
"201",2016-01-03,554184,4260776,5392,1176,3959,967,2174,346,0.0101239774163204,0.00220804848694228,0.0571506936324398,0.013959262627575,0.00408188555324194,0.000649646918777237,0,201,0,0,40401
"202",2016-01-04,601512,4511296,6189,1356,4378,1088,2450,401,0.0109751166848728,0.00240463050972492,0.0582266022955485,0.0144702017582359,0.00434464951978323,0.000711103860176765,0,202,0,0,40804
"203",2016-01-05,608512,4533160,6201,1484,4544,1179,2232,455,0.0109433595990435,0.00261892366472836,0.0597391670172486,0.0155001051745898,0.00393897413724642,0.000802971878336525,0,203,0,0,41209
"204",2016-01-06,609672,4522288,5862,1291,4257,1034,2217,417,0.0103699720141663,0.00228379970492812,0.0558595441483289,0.0135679512918422,0.00392190855602297,0.00073767968780405,0,204,0,0,41616
"205",2016-01-07,605264,4467072,5886,1288,4365,1022,2083,328,0.0105411329837531,0.00230665635118485,0.0576938327737979,0.0135081551190885,0.00373040774807301,0.000587409381357632,0,205,0,0,42025
"206",2016-01-08,609632,4283720,5689,1202,4247,974,2106,335,0.0106244105590468,0.00224477790331768,0.0557319825730933,0.0127814812870715,0.00393303017003912,0.000625624457247439,0,206,0,0,42436
"207",2016-01-09,567632,4084712,5229,1048,3984,882,1984,274,0.0102411136941846,0.00205253148814408,0.0561490543168814,0.0124305888322011,0.00388570846610483,0.000536635140984236,0,207,0,0,42849
"208",2016-01-10,577024,4475424,5888,1315,4245,1076,2214,400,0.0105250362870646,0.00235061527131284,0.0588537045252884,0.0149179236912156,0.0039576138484309,0.00071501605211037,0,208,0,0,43264
"209",2016-01-11,622760,4577184,5435,1208,4087,988,1813,327,0.00949929039339472,0.0021113418206478,0.0525017663305286,0.0126918877256086,0.00316876053049211,0.000571530443172046,0,209,0,0,43681
"210",2016-01-12,609656,4504616,5569,1253,4157,1041,1987,379,0.00989029919531432,0.00222527292004468,0.0545487947301429,0.0136601624522682,0.00352882465453215,0.000673087339742167,0,210,0,0,44100
"211",2016-01-13,612856,4510128,5712,1241,4174,975,2095,375,0.0101318632198465,0.00220126790193094,0.0544858824911562,0.0127272964611589,0.00371608078529035,0.000665169591639084,0,211,0,0,44521
"212",2016-01-14,624368,4545688,6382,1221,4763,999,2049,338,0.0112317431376724,0.00214884963508274,0.0610281116264767,0.0128001435051124,0.00360605479302583,0.000594849448532323,0,212,0,0,44944
"213",2016-01-15,604608,4375240,5931,1123,4365,916,2395,327,0.0108446622356716,0.00205337307210576,0.057756430612893,0.012120249814756,0.00437918834166811,0.000597910057505417,0,213,0,0,45369
"214",2016-01-16,566704,4011656,4858,977,3675,832,1808,259,0.00968776983869006,0.00194832258797863,0.0518789350348683,0.0117451085575539,0.00360549359167386,0.000516494933763015,0,214,0,0,45796
"215",2016-01-17,578048,4476984,5558,1332,4140,1085,2012,410,0.00993168615299943,0.00238017379557309,0.0572962798937112,0.0150160540301151,0.00359527753505485,0.000732636078216942,0,215,0,0,46225
"216",2016-01-18,607776,4528424,5497,1174,4036,965,2081,370,0.00971110479054082,0.00207401073751044,0.0531248354656979,0.0127020481229927,0.00367633419485455,0.00065364903993089,0,216,0,0,46656
"217",2016-01-19,605184,4219496,5534,1323,4058,1027,1962,387,0.0104922483633116,0.00250835644825828,0.0536431895093063,0.0135760363790186,0.00371987554911771,0.000733736920238815,0,217,0,0,47089
"218",2016-01-20,624592,4464544,5631,1161,4233,978,2008,333,0.0100901682232273,0.00208039163686146,0.0542177933755155,0.0125265773496939,0.00359812782671646,0.000596701477239333,0,218,0,0,47524
"219",2016-01-21,608568,4348184,5636,1232,4237,1038,2079,400,0.0103693863921122,0.00226669340579883,0.0556979663735195,0.0136451472966045,0.00382504512228553,0.000735939417467154,0,219,0,0,47961
"220",2016-01-22,619200,4425288,6046,1270,4576,1041,2356,375,0.0109299100985066,0.00229589576994763,0.0591214470284238,0.0134496124031008,0.00425915782204458,0.000677921979315245,0,220,0,0,48400
"221",2016-01-23,582792,4304048,5695,1236,4095,954,2042,354,0.0105853838061286,0.002297372148266,0.056212164889017,0.0130955812708479,0.00379549670449772,0.000657985226930555,0,221,0,0,48841
"222",2016-01-24,583056,4596360,5877,1297,4406,1050,2090,356,0.0102289637887372,0.00225743849480894,0.0604538843610219,0.0144068494278423,0.00363766110574455,0.000619620743370841,0,222,0,0,49284
"223",2016-01-25,618168,4720896,5911,1366,4472,1109,2126,414,0.0100167425844585,0.00231481481481481,0.0578742348358375,0.0143520855172057,0.00360270592701047,0.000701561737432894,0,223,0,0,49729
"224",2016-01-26,623144,4670224,6285,1424,4607,1152,2386,460,0.0107660788861519,0.00243928342623394,0.0591452376978676,0.0147895189554902,0.00408717012288918,0.000787970769710404,0,224,0,0,50176
"225",2016-01-27,637360,4973240,7704,1649,5344,1277,2981,547,0.0123927258688501,0.00265259669752515,0.0670766913518263,0.016028618049454,0.00479526425428895,0.000879909274436786,0,225,0,0,50625
"226",2016-01-28,630376,4741488,6565,1409,4865,1133,2398,387,0.0110766915364966,0.00237731277607367,0.0617409292231938,0.0143787200020305,0.00404598725125952,0.000652959577246636,0,226,0,0,51076
"227",2016-01-29,620168,4601488,6107,1253,4566,1054,2337,376,0.0106174350557906,0.00217842576140588,0.0589001689864682,0.013596315836999,0.00406303352306906,0.000653701585226344,0,227,0,0,51529
"228",2016-01-30,565656,4076832,5141,1197,3873,959,1768,336,0.0100882253671478,0.00234888266183154,0.0547753404896262,0.0135630135630136,0.00346936052307282,0.000659335484022888,0,228,0,0,51984
"229",2016-01-31,561760,4264576,5614,1239,4097,1004,2086,359,0.0105314103910916,0.00232426388930576,0.0583452007974936,0.0142979208202791,0.00391316745205151,0.000673454992946544,0,229,0,0,52441
"230",2016-02-01,618120,4636944,6401,1329,4653,1049,2342,390,0.0110434803612034,0.00229288945477884,0.060221316249272,0.0135766517828253,0.00404059225213848,0.0006728569506123,0,230,0,0,52900
"231",2016-02-02,631936,4754576,6733,1306,4760,1049,2550,386,0.0113288755926922,0.00219746198188861,0.060259266761191,0.0132798258051448,0.00429060341027255,0.000649479575045178,0,231,0,0,53361
"232",2016-02-03,627424,4708872,7668,1291,5280,1042,3167,371,0.0130273237412272,0.0021933065923219,0.06732289488448,0.0132860713010659,0.00538048177992521,0.000630299570682745,0,232,0,0,53824
"233",2016-02-04,614512,4466784,6496,1206,4661,985,2286,375,0.0116343212476807,0.00215994326119194,0.0606790428828078,0.0128231832738824,0.00409422080852801,0.00067162414838058,0,233,0,0,54289
"234",2016-02-05,614464,4485264,6620,1221,4683,963,2486,399,0.0118075546946623,0.00217779822993697,0.0609702114363087,0.0125377564836996,0.00443407567536716,0.000711663795040827,0,234,0,0,54756
"235",2016-02-06,561960,4167320,5658,1020,4079,829,2193,293,0.0108616568921993,0.00195809297102214,0.0580681899067549,0.0118015517118656,0.00420989988769761,0.000562471804421067,0,235,0,0,55225
"236",2016-02-07,578024,4564136,5792,1152,4167,910,2288,315,0.0101521952895356,0.00201922116255957,0.0576723457849501,0.0125946327488132,0.00401039758675026,0.000552130786637383,0,236,0,0,55696
"237",2016-02-08,655176,5745792,9220,1519,6395,1169,3994,487,0.0128372206999488,0.00211493907193299,0.0780858883719794,0.014274027131641,0.00556093920559603,0.000678061440441979,0,237,0,0,56169
"238",2016-02-09,614904,4701264,6927,1284,4918,1011,2634,380,0.0117874682213124,0.00218494430434028,0.0639839714817272,0.0131532727059834,0.0044821988299317,0.000646634607203509,0,238,0,0,56644
"239",2016-02-10,622048,4753848,6968,1456,5025,1121,2764,474,0.0117260795885775,0.00245022558567291,0.0646252379237615,0.0144168938731416,0.00465138977939555,0.000797669593138022,0,239,0,0,57121
"240",2016-02-11,615632,4710904,7313,1345,4876,1088,2836,455,0.012418847847462,0.00228406267671767,0.063362528263638,0.0141383163968085,0.00481606078154002,0.000772675477997429,0,240,0,0,57600
"241",2016-02-12,616672,4681416,6569,1251,4388,952,2310,433,0.0112256633463038,0.00213781471247161,0.0569249130818328,0.0123501634580458,0.0039475235697917,0.000739947058753164,0,241,0,0,58081
"242",2016-02-13,568480,4463904,5889,1115,4051,928,2136,335,0.0105539904083959,0.0019982508584414,0.0570081621165212,0.0130593864339994,0.00382803931267339,0.000600371334150555,0,242,0,0,58564
"243",2016-02-14,590240,4913992,6086,1258,4256,990,2254,382,0.00990803403831345,0.00204802938222122,0.057685009487666,0.0134182705340201,0.00366952164350288,0.000621897634346983,0,243,0,0,59049
"244",2016-02-15,598184,4838056,7802,1424,5114,1095,3426,417,0.0129010495124488,0.00235466476617881,0.0683936715124443,0.0146443234857502,0.00566508531525886,0.000689533151331857,0,244,0,0,59536
"245",2016-02-16,624432,5428728,7154,1562,5014,1226,2809,568,0.0105424327761494,0.00230182834726662,0.0642375791118969,0.0157070745893868,0.00413945955664016,0.000837028489915133,0,245,0,0,60025
"246",2016-02-17,612696,4861296,6699,1427,4634,1107,2431,446,0.0110242207016401,0.00234834496809081,0.0605063522529933,0.0144541501821458,0.00400057926939647,0.000733960655759287,0,246,0,0,60516
"247",2016-02-18,620720,4951256,6890,1479,4730,1116,2512,480,0.0111325287967336,0.0023896966749447,0.0609614641061993,0.0143832968166001,0.00405876811863495,0.000775560787000309,0,247,0,0,61009
"248",2016-02-19,614432,4885216,6529,1549,4539,1198,2321,492,0.0106918506776364,0.00253663297590117,0.0590984844539347,0.0155981459298995,0.00380085547906172,0.000805696206677453,0,248,0,0,61504
"249",2016-02-20,567416,4578704,6098,1222,4314,965,2374,415,0.010654543294347,0.00213510198519057,0.0608230998068437,0.0136055380884571,0.00414789861934731,0.000725096009700561,0,249,0,0,62001
"250",2016-02-21,561440,4893792,5880,1340,4045,1060,2043,443,0.00961217804107735,0.00219053036990538,0.0576375035622685,0.0151040182388145,0.00333974145202738,0.000724182801394093,0,250,0,0,62500
"251",2016-02-22,609008,5038352,6980,1608,4845,1284,2796,656,0.011082989040861,0.00255321581342471,0.0636444841447075,0.0168667735070804,0.00443954689946236,0.00104161043134739,0,251,0,0,63001
"252",2016-02-23,614384,5077768,7080,1599,4993,1236,2781,614,0.0111545072559439,0.00251921710483819,0.0650147139248418,0.0160941691189875,0.00438145263824578,0.000967354160331862,0,252,0,0,63504
"253",2016-02-24,623544,5362392,7544,1546,5052,1173,2649,528,0.0112546788821108,0.002306433397633,0.0648165967437743,0.0150494592201994,0.00395196770396495,0.000787708172024723,0,253,0,0,64009
"254",2016-02-25,620416,5229112,7022,1528,4632,1180,2483,484,0.0107429330257221,0.00233768180907198,0.0597276665978956,0.015215597276666,0.00379873293974197,0.000740469892402381,0,254,0,0,64516
"255",2016-02-26,621016,5249552,6933,1435,4749,1104,2409,426,0.0105654730156021,0.0021868532781464,0.0611771677380293,0.0142218557975962,0.00367117041606598,0.000649198255393984,0,255,0,0,65025
"256",2016-02-27,565016,4792968,6171,1247,4221,977,2496,509,0.0103000896313099,0.00208138255878195,0.0597646792303227,0.013833236580911,0.00416610334139514,0.000849577965052135,0,256,0,0,65536
"257",2016-02-28,567000,5030120,5972,1360,4064,1059,2315,457,0.00949798414351944,0.00216297026711092,0.0573403880070547,0.0149417989417989,0.00368182071203073,0.000726821626521833,0,257,0,0,66049
