date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-08-24,2843064,1024456,572,231,529,214,226,83,0.0016095311255743803,6.500029545588844e-4,0.004130972926118838,0.0016711308245546904,6.359336265381293e-4,2.335508451445342e-4,0,435,0,0,189225
2016-08-25,4170784,1323312,1742,532,1574,458,932,109,0.0033413382232213417,0.0010204316502604785,0.009515518638083838,0.002768810378807114,0.0017876734925615903,2.0907340202705295e-4,0,436,0,0,190096
2016-08-26,4135536,1322992,1685,672,1499,554,998,285,0.0032595532961144577,0.0012999524124563298,0.00906430273198931,0.003349982463990712,0.0019305840887372278,5.513191034971041e-4,0,437,0,0,190969
2016-08-27,2482568,820720,1136,560,993,492,735,339,0.003660725506813912,0.0018045829963167172,0.009679305975241251,0.004795789063261526,0.0023685151826656915,0.0010924172066988699,0,438,0,0,191844
2016-08-28,2065392,725240,1134,408,1064,386,792,244,0.004392386530014641,0.001580329545190453,0.011736804368209144,0.004257900832827753,0.0030676985288991144,9.450990417315453e-4,0,439,0,0,192721
2016-08-29,2109696,796928,3102,281,3043,266,2783,126,0.01176283218056061,0.0010655563645188691,0.030547301638291037,0.002670253774494057,0.010553179225822109,4.777939570440481e-4,0,440,0,0,193600
2016-08-30,2317496,861448,1835,205,1711,197,1369,63,0.006334423015185355,7.076603368463203e-4,0.01588952554303916,0.0018294778094557072,0.004725790249476159,2.1747610351862526e-4,0,441,0,0,194481
2016-08-31,2727560,1022344,870,314,813,290,468,112,0.0025517312176450745,9.209696578627051e-4,0.006361850805599681,0.0022692948753061594,0.0013726554136297643,3.2849873146695215e-4,0,442,0,0,195364
2016-09-01,2937000,1134376,864,224,815,207,512,33,0.0023534218590398363,6.101464078992169e-4,0.005747653335402019,0.001459833423838304,0.0013946203609124957,8.988764044943821e-5,0,443,0,0,196249
2016-09-02,2996496,1023600,810,390,773,373,321,47,0.002162525830169638,0.001041216140452048,0.006041422430636967,0.002915201250488472,8.57000977141301e-4,1.2547989384934936e-4,0,444,0,0,197136
2016-09-03,2747712,909104,661,199,589,163,332,49,0.0019245102834649338,5.793911443411827e-4,0.005183125362994773,0.0014343793449374327,9.666224116646868e-4,1.426641511191857e-4,0,445,0,0,198025
2016-09-04,2191584,770896,644,200,579,165,371,52,0.002350811102837035,7.300655598872778e-4,0.0060085925987422425,0.0017122932276208466,0.0013542716135909005,1.8981704557069224e-4,0,446,0,0,198916
2016-09-05,3098776,1064368,2910,569,2823,555,2469,438,0.007512643701900363,0.0014689671018492463,0.021218225275468634,0.004171489560001804,0.006374129656354638,0.0011307690520386115,0,447,0,0,199809
2016-09-06,3253240,1175824,884,211,824,191,564,79,0.002173832855860619,5.188673445549667e-4,0.0056062812121542,0.001299514213011471,0.001386925034734603,1.9426786834048518e-4,0,448,0,0,200704
