date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-10-13,752240,471400,281,43,267,42,146,12,0.002988407954908008,4.5730086142720404e-4,0.004531183708103521,7.127704709376326e-4,0.0015526959481016696,1.276188450494523e-4,0,119,0,0,14161
2015-10-14,4273376,1927120,1556,384,1502,368,839,101,0.0029129194341897366,7.188695775892409e-4,0.006235211092199759,0.0015276682303125907,0.0015706551447848258,1.8907767535550346e-4,0,120,0,0,14400
2015-10-15,1751016,969616,966,119,925,111,667,26,0.004413437684178785,5.436843523988359e-4,0.007631887262586426,9.158264715103711e-4,0.0030473736390758278,1.1878817783503976e-4,0,121,0,0,14641
2015-10-16,1523320,854672,1354,147,1273,141,399,33,0.007110784339469055,7.719980043589003e-4,0.01191568227343355,0.001319804556601831,0.002095423154688444,1.733056744479164e-4,0,122,0,0,14884
2015-10-17,1625792,908896,499,111,473,110,189,24,0.002455418651340393,5.461953312600874e-4,0.004163292609935571,9.682075837059467e-4,9.300082667401488e-4,1.180962878400189e-4,0,123,0,0,15129
2015-10-18,1937768,923328,1078,179,980,168,454,63,0.004450481172152704,7.38994554559679e-4,0.008491023774866569,0.001455604075691412,0.0018743213841904706,2.6009305551541776e-4,0,124,0,0,15376
2015-10-19,1991400,993448,3130,185,2804,180,2392,51,0.012574068494526464,7.431957416892638e-4,0.02257994379172337,0.0014494971050321708,0.00960932007632821,2.048809882494727e-4,0,125,0,0,15625
2015-10-20,1981552,918376,2629,138,2349,131,2032,42,0.010613902637932287,5.571390506027598e-4,0.020462207200536597,0.0011411448034356298,0.008203670658150784,1.6956405887910082e-4,0,126,0,0,15876
2015-10-21,1897576,882208,920,132,851,125,563,38,0.0038786325290792044,5.564994498244076e-4,0.007717000979360877,0.0011335195328085893,0.0023735544715995562,1.602043870706628e-4,0,127,0,0,16129
2015-10-22,1483032,777392,681,305,662,304,393,199,0.0036735552570679527,0.0016452780519907865,0.00681252186798938,0.0031284088336386274,0.0021199812276471446,0.0010734764994956279,0,128,0,0,16384
2015-10-23,1477024,720600,730,145,682,143,356,39,0.003953896483740278,7.853630001949867e-4,0.0075714682209270055,0.0015875659172911462,0.001928201572892519,2.1123556556968607e-4,0,129,0,0,16641
2015-10-24,1610304,733904,542,173,497,166,246,64,0.0026926592742736776,8.594650451094949e-4,0.005417602302208464,0.0018095009701541345,0.0012221294861094552,3.1795238663010215e-4,0,130,0,0,16900
2015-10-25,1834144,822136,1381,885,1356,882,1039,778,0.006023518327895738,0.003860111310780397,0.013194897194624734,0.008582521626592194,0.004531814295933144,0.0033934085873301113,0,131,0,0,17161
2015-10-26,2017304,964280,899,298,851,291,461,156,0.0035651542851250976,0.0011817752802750602,0.00706018998631103,0.0024142365288090596,0.0018281825644523581,6.186474621574141e-4,0,132,0,0,17424
2015-10-27,2089232,1026504,798,217,755,215,378,108,0.003055668302993636,8.30927345550901e-4,0.005884049161035905,0.0016755901584406881,0.0014474218277338276,4.135490936382364e-4,0,133,0,0,17689
2015-10-28,2029680,904112,775,159,653,155,409,62,0.0030546687162508377,6.266997753340428e-4,0.005778045197940078,0.0013715114941511672,0.0016120767805762484,2.44373497300067e-4,0,134,0,0,17956
2015-10-29,3687600,1572464,2067,1121,1954,1113,1383,943,0.004484217377155874,0.002431934049246122,0.009941086091637075,0.005662450777887443,0.0030003254149040025,0.0020457750298296996,0,135,0,0,18225
2015-10-30,1383048,685424,704,187,657,180,366,93,0.004072165246614723,0.0010816688936320358,0.007668246224234926,0.0021008893765027195,0.0021170631821889043,5.3794228399882e-4,0,136,0,0,18496
